,id,satno,cosparId,objectClass,mass,xSectAvg
16965,45390,45390.0,2020-019AG,Payload,260.0,13.5615
16966,45391,45391.0,2020-019AH,Payload,260.0,13.5615
16967,45392,45392.0,2020-019AJ,Payload,260.0,13.5615
16968,45393,45393.0,2020-019AK,Payload,260.0,13.5615
16969,45394,45394.0,2020-019AL,Payload,260.0,13.5615
16970,45395,45395.0,2020-019AM,Payload,260.0,13.5615
16971,45396,45396.0,2020-019AN,Payload,260.0,13.5615
16972,45397,45397.0,2020-019AP,Payload,260.0,13.5615
16973,45398,45398.0,2020-019AQ,Payload,260.0,13.5615
16974,45399,45399.0,2020-019AR,Payload,260.0,13.5615
16975,45400,45400.0,2020-019AS,Payload,260.0,13.5615
16976,45401,45401.0,2020-019AT,Payload,260.0,13.5615
16977,45402,45402.0,2020-019AU,Payload,260.0,13.5615
16978,45403,45403.0,2020-019AV,Payload,260.0,13.5615
16979,45404,45404.0,2020-019AW,Payload,260.0,13.5615
16980,45405,45405.0,2020-019AX,Payload,260.0,13.5615
16981,45406,45406.0,2020-019AY,Payload,260.0,13.5615
16982,45407,45407.0,2020-019AZ,Payload,260.0,13.5615
16983,45408,45408.0,2020-019BA,Payload,260.0,13.5615
16984,45409,45409.0,2020-019BB,Payload,260.0,13.5615
16985,45410,45410.0,2020-019BC,Payload,260.0,13.5615
16986,45411,45411.0,2020-019BD,Payload,260.0,13.5615
16987,45412,45412.0,2020-019BE,Payload,260.0,13.5615
16988,45413,45413.0,2020-019BF,Payload,260.0,13.5615
16989,45414,45414.0,2020-019BG,Payload,260.0,13.5615
16990,45415,45415.0,2020-019BH,Payload,260.0,13.5615
16991,45416,45416.0,2020-019BJ,Payload,260.0,13.5615
16992,45417,45417.0,2020-019BK,Payload,260.0,13.5615
16993,45418,45418.0,2020-019BL,Payload,260.0,13.5615
16994,45419,45419.0,2020-019BM,Payload,260.0,13.5615
16995,45424,45424.0,2020-020A,Payload,148.0,2.95680294117647
16996,45425,45425.0,2020-020B,Payload,148.0,2.95680294117647
16997,45426,45426.0,2020-020C,Payload,148.0,2.95680294117647
16998,45427,45427.0,2020-020D,Payload,148.0,2.95680294117647
16999,45428,45428.0,2020-020E,Payload,148.0,2.95680294117647
17000,45429,45429.0,2020-020F,Payload,148.0,2.95680294117647
17001,45430,45430.0,2020-020G,Payload,148.0,2.95680294117647
17002,45431,45431.0,2020-020H,Payload,148.0,2.95680294117647
17003,45432,45432.0,2020-020J,Payload,148.0,2.95680294117647
17004,45433,45433.0,2020-020K,Payload,148.0,2.95680294117647
17005,45434,45434.0,2020-020L,Payload,148.0,2.95680294117647
17006,45435,45435.0,2020-020M,Payload,148.0,2.95680294117647
17007,45436,45436.0,2020-020N,Payload,148.0,2.95680294117647
17008,45437,45437.0,2020-020P,Payload,148.0,2.95680294117647
17009,45438,45438.0,2020-020Q,Payload,148.0,2.95680294117647
17010,45439,45439.0,2020-020R,Payload,148.0,2.95680294117647
17011,45440,45440.0,2020-020S,Payload,148.0,2.95680294117647
17012,45441,45441.0,2020-020T,Payload,148.0,2.95680294117647
17013,45442,45442.0,2020-020U,Payload,148.0,2.95680294117647
17014,45443,45443.0,2020-020V,Payload,148.0,2.95680294117647
17015,45444,45444.0,2020-020W,Payload,148.0,2.95680294117647
17016,45445,45445.0,2020-020X,Payload,148.0,2.95680294117647
17017,45446,45446.0,2020-020Y,Payload,148.0,2.95680294117647
17018,45447,45447.0,2020-020Z,Payload,148.0,2.95680294117647
17019,45448,45448.0,2020-020AA,Payload,148.0,2.95680294117647
17020,45449,45449.0,2020-020AB,Payload,148.0,2.95680294117647
17021,45450,45450.0,2020-020AC,Payload,148.0,2.95680294117647
17022,45451,45451.0,2020-020AD,Payload,148.0,2.95680294117647
17023,45452,45452.0,2020-020AE,Payload,148.0,2.95680294117647
17024,45453,45453.0,2020-020AF,Payload,148.0,2.95680294117647
17025,45454,45454.0,2020-020AG,Payload,148.0,2.95680294117647
17026,45455,45455.0,2020-020AH,Payload,148.0,2.95680294117647
17027,45456,45456.0,2020-020AJ,Payload,148.0,2.95680294117647
17028,45457,45457.0,2020-020AK,Payload,148.0,2.95680294117647
17029,45459,45459.0,1991-056CT,Rocket Fragmentation Debris,,
